"title","rating","duration","certificate","release_date","review_date","reviewer","url","release_year","release_month","sentiment","p_positive","p_negative"
"Grounded: Unaccompanied Minors",2,90,"PG","2006-12-15","2006-12-08 09:00:00","Helen O'hara"," https://www.empireonline.com/movies/grounded-unaccompanied-minors/review/",2006,12,"neg",0.29,0.7
"The Getaway",3,115,"18","1994-12-07","2006-12-07 09:00:00","Kim Newman"," https://www.empireonline.com/movies/getaway-2/review/",1994,12,"pos",0.56,0.43
"Happy Feet",3,109,"U","2006-12-08","2006-12-01 09:00:00","Helen O'hara"," https://www.empireonline.com/movies/happy-feet/review/",2006,12,"pos",0.54,0.45
"Freeway",4,110,"18","1996-11-29","2006-11-29 09:00:00","Kim Newman"," https://www.empireonline.com/movies/freeway/review/",1996,11,"pos",0.5,0.5
"The Covenant",2,97,"12A","2006-12-08","2006-11-29 09:00:00","Helen O'hara"," https://www.empireonline.com/movies/covenant/review/",2006,12,"pos",0.5,0.49
"Perfume: The Story Of A Murderer",4,147,"15","2006-12-26","2006-11-24 09:00:00","Dan Jolin"," https://www.empireonline.com/movies/perfume-story-murderer/review/",2006,12,"pos",0.51,0.48
"Shortbus",3,101,"18","2006-12-01","2006-11-24 09:00:00","Anna Smith"," https://www.empireonline.com/movies/shortbus/review/",2006,12,"pos",0.5,0.5
"Duelist",2,109,"12A","2007-03-09","2006-11-24 09:00:00","Helen O'hara"," https://www.empireonline.com/movies/duelist/review/",2007,3,"pos",0.5,0.5
"The West Wittering Affair",3,92,"15","2006-12-15","2006-11-24 09:00:00","Patrick Peters"," https://www.empireonline.com/movies/west-wittering-affair/review/",2006,12,"neg",0.42,0.57
"Dead Man's Cards",3,92,"18","2006-12-15","2006-11-24 09:00:00","Kim Newman"," https://www.empireonline.com/movies/dead-man-cards/review/",2006,12,"pos",0.6,0.39
"The U.S. Vs. John Lennon",2,99,"12A","2006-12-08","2006-11-24 09:00:00","Damon Wise"," https://www.empireonline.com/movies/us-vs-john-lennon/review/",2006,12,"pos",0.51,0.48
"Big Nothing",3,86,"15","2006-12-01","2006-11-24 09:00:00","Helen O'hara"," https://www.empireonline.com/movies/big-nothing/review/",2006,12,"neg",0.36,0.63
"London To Brighton",4,86,"18","2006-12-01","2006-11-24 09:00:00","Alan Morrison"," https://www.empireonline.com/movies/london-brighton/review/",2006,12,"pos",0.62,0.37
"The Heart of the Game",2,97,"12A","2006-12-08","2006-11-24 09:00:00","Patrick Peters"," https://www.empireonline.com/movies/heart-game/review/",2006,12,"pos",0.66,0.33
"The Upside Of Anger",4,117,"15","2007-05-04","2006-11-24 09:00:00","Ian Nathan"," https://www.empireonline.com/movies/upside-anger/review/",2007,5,"pos",0.83,0.16
"Stranger Than Fiction",4,113,"12A","2006-12-01","2006-11-24 09:00:00","Ian Freer"," https://www.empireonline.com/movies/stranger-fiction/review/",2006,12,"pos",0.59,0.4
"Flags Of Our Fathers",4,132,"15","2006-12-22","2006-11-24 09:00:00","Ian Nathan"," https://www.empireonline.com/movies/flags-fathers/review/",2006,12,"neg",0.17,0.82
"Doctor Dolittle",2,85,"PG","1998-11-23","2006-11-23 09:00:00","Caroline Westbrook"," https://www.empireonline.com/movies/doctor-dolittle-2/review/",1998,11,"neg",0.07,0.92
"Citizen Kane",5,119,"U","2016-05-03","2006-11-23 09:00:00","Rf"," https://www.empireonline.com/movies/citizen-kane/review/",2016,5,"pos",0.75,0.24
"Cape Fear",4,128,"18","1991-11-21","2006-11-21 09:00:00","Kim Newman"," https://www.empireonline.com/movies/cape-fear-2/review/",1991,11,"pos",0.51,0.48
"Rampage",4,108,"15","2006-11-24","2006-11-17 09:00:00","Alan Morrison"," https://www.empireonline.com/movies/rampage/review/",2006,11,"neg",0.35,0.64
"Something New",1,100,"PG","2006-11-24","2006-11-17 09:00:00","Kat Brown"," https://www.empireonline.com/movies/something-new/review/",2006,11,"pos",0.54,0.45
"High School Musical",2,93,"U","2006-06-04","2006-11-17 09:00:00","Emma Cochrane"," https://www.empireonline.com/movies/high-school-musical/review/",2006,6,"pos",0.69,0.3
"Tenacious D: In The Pick Of Destiny",3,94,"15","2006-11-24","2006-11-17 09:00:00","Simon Crook"," https://www.empireonline.com/movies/tenacious-d-pick-destiny/review/",2006,11,"pos",0.88,0.11
"Antibodies",3,127,"18","2006-11-17","2006-11-13 09:00:00","Patrick Peters"," https://www.empireonline.com/movies/antibodies/review/",2006,11,"pos",0.5,0.5
"The Incredible Hulk",3,112,"12A","2008-06-13","2006-11-06 09:00:00","Simon Crook"," https://www.empireonline.com/movies/incredible-hulk/review/",2008,6,"pos",0.65,0.34
"Romanzo Criminale",4,153,"15","2006-11-03","2006-10-27 09:00:00","Alan Morrison"," https://www.empireonline.com/movies/romanzo-criminale/review/",2006,11,"pos",0.5,0.5
"Mischief Night",3,92,"15","2006-11-03","2006-10-27 09:00:00","Als"," https://www.empireonline.com/movies/mischief-night/review/",2006,11,"pos",0.64,0.35
"Frostbite",3,98,"15","2006-12-15","2006-10-27 09:00:00","Kim Newman"," https://www.empireonline.com/movies/frostbite/review/",2006,12,"pos",0.5,0.5
"The Rocket Post",2,112,"12A","2006-11-24","2006-10-27 09:00:00","Anna Smith"," https://www.empireonline.com/movies/rocket-post/review/",2006,11,"neg",0.41,0.58
"Joy Division",3,105,"15","2006-11-17","2006-10-27 09:00:00","Sam Toy"," https://www.empireonline.com/movies/joy-division/review/",2006,11,"pos",0.77,0.22
"Deep Water",3,93,"PG","2006-12-15","2006-10-27 09:00:00","Anna Smith"," https://www.empireonline.com/movies/deep-water-2/review/",2006,12,"pos",0.53,0.46
"Leonard Cohen: I'm Your Man",2,103,"PG","2006-11-24","2006-10-27 09:00:00","Sam Toy"," https://www.empireonline.com/movies/leonard-cohen-m-man/review/",2006,11,"pos",0.77,0.22
"Requiem",4,92,"12A","2006-11-17","2006-10-27 09:00:00","Helen O'hara"," https://www.empireonline.com/movies/requiem/review/",2006,11,"pos",0.62,0.37
"The Page Turner (La Tourneuse De Pages)",4,85,"15","2006-11-03","2006-10-27 09:00:00","David Parkinson"," https://www.empireonline.com/movies/page-turner-la-tourneuse-de-pages/review/",2006,11,"neg",0.11,0.88
"The Host (Gwoemul)",4,120,"15","2006-11-10","2006-10-27 09:00:00","Simon Crook"," https://www.empireonline.com/movies/host-gwoemul/review/",2006,11,"neg",0.47,0.52
"Middletown",3,89,"15","2007-03-02","2006-10-27 09:00:00","Helen O'hara"," https://www.empireonline.com/movies/middletown/review/",2007,3,"pos",0.5,0.5
"Twelve and Holding",3,95,"15","2006-11-10","2006-10-27 09:00:00","Sam Toy"," https://www.empireonline.com/movies/twelve-holding/review/",2006,11,"pos",0.54,0.45
"Fated",2,98,"15","2006-11-24","2006-10-27 09:00:00","David Parkinson"," https://www.empireonline.com/movies/fated/review/",2006,11,"pos",0.55,0.44
"Pan's Labyrinth",5,120,"15","2006-11-24","2006-10-27 09:00:00","Kim Newman"," https://www.empireonline.com/movies/pan-labyrinth/review/",2006,11,"pos",0.58,0.41
"Basketball Diaries",3,102,"18","1995-10-23","2006-10-23 09:00:00","Darren Bignell"," https://www.empireonline.com/movies/basketball-diaries/review/",1995,10,"neg",0.05,0.94
"The Great Ecstasy Of Robert Carmichael",1,96,"18","2006-10-20","2006-10-18 09:00:00","Ah"," https://www.empireonline.com/movies/great-ecstasy-robert-carmichael/review/",2006,10,"pos",0.65,0.34
"LoudQuietLoud",3,85,"E","2006-10-09","2006-10-18 09:00:00","Alan Morrison"," https://www.empireonline.com/movies/loudquietloud/review/",2006,10,"pos",0.5,0.5
"Open Season",2,86,"PG","2006-10-13","2006-10-13 09:00:00","Helen O'hara"," https://www.empireonline.com/movies/open-season/review/",2006,10,"pos",0.62,0.37
"The Plague",3,104,"18","2006-10-03","2006-10-13 09:00:00","Patrick Peters"," https://www.empireonline.com/movies/plague/review/",2006,10,"pos",0.5,0.49
"Black Book",3,145,"15","2007-01-19","2006-10-12 09:00:00","Ian Nathan"," https://www.empireonline.com/movies/black-book/review/",2007,1,"pos",0.52,0.47
"Scenes Of A Sexual Nature",2,92,"15","2006-11-03","2006-09-29 09:00:00","Helen O'hara"," https://www.empireonline.com/movies/scenes-sexual-nature/review/",2006,11,"pos",0.61,0.38
"Brothers Of The Head",2,93,"18","2006-10-06","2006-09-29 09:00:00","Patrick Peters"," https://www.empireonline.com/movies/brothers-head/review/",2006,10,"pos",0.5,0.49
"Havoc",3,85,"18","2006-10-27","2006-09-29 09:00:00","Anna Smith"," https://www.empireonline.com/movies/havoc/review/",2006,10,"neg",0.46,0.53
"I Saw Ben Barka Get Killed",4,103,"12A","2006-10-20","2006-09-29 09:00:00","David Parkinson"," https://www.empireonline.com/movies/saw-ben-barka-get-killed/review/",2006,10,"pos",0.5,0.49
"Snuff-Movie",1,93,"18","2006-10-27","2006-09-29 09:00:00","Genevieve Harrison"," https://www.empireonline.com/movies/snuff-movie/review/",2006,10,"pos",0.5,0.5
"Gypo",3,99,"15","2006-10-20","2006-09-29 09:00:00","Anna Smith"," https://www.empireonline.com/movies/gypo/review/",2006,10,"pos",0.5,0.5
"Accepted",2,90,"12A","2006-10-06","2006-09-29 09:00:00","Simon Braund"," https://www.empireonline.com/movies/accepted/review/",2006,10,"pos",0.67,0.32
"Stick It",2,103,"12A","2006-10-13","2006-09-29 09:00:00","Simon Braund"," https://www.empireonline.com/movies/stick/review/",2006,10,"neg",0.44,0.55
"Neil Young: Heart Of Gold",3,104,"PG","2006-10-06","2006-09-29 09:00:00","Ross Bennett"," https://www.empireonline.com/movies/neil-young-heart-gold/review/",2006,10,"pos",0.75,0.24
"Man Push Cart",3,87,"15","2006-10-06","2006-09-29 09:00:00","David Parkinson"," https://www.empireonline.com/movies/man-push-cart/review/",2006,10,"neg",0.28,0.71
"Only Yesterday",4,118,"PG","1991-09-04","2006-09-29 09:00:00","Helen O'hara"," https://www.empireonline.com/movies/yesterday/review/",1991,9,"pos",0.76,0.23
"The Aryan Couple",2,19,"12A","2006-10-13","2006-09-29 09:00:00","David Parkinson"," https://www.empireonline.com/movies/aryan-couple/review/",2006,10,"pos",0.75,0.24
"Sixty Six",3,94,"12A","2006-11-03","2006-09-29 09:00:00","Kat Brown"," https://www.empireonline.com/movies/sixty-six/review/",2006,11,"pos",0.72,0.27
"The Devil Wears Prada",4,109,"PG","2006-10-05","2006-09-29 09:00:00","Helen O'hara"," https://www.empireonline.com/movies/devil-wears-prada/review/",2006,10,"neg",0.29,0.7
"The History Boys",3,110,"15","2006-10-13","2006-09-29 09:00:00","Ian Nathan"," https://www.empireonline.com/movies/history-boys/review/",2006,10,"pos",0.65,0.34
"Marie Antoinette",4,123,"12A","2006-10-20","2006-09-29 09:00:00","Ian Freer"," https://www.empireonline.com/movies/marie-antoinette/review/",2006,10,"pos",0.5,0.5
"Zidane: A 21st Century Portrait",4,95,"PG","2006-09-29","2006-09-25 09:00:00","Patrick Peters"," https://www.empireonline.com/movies/zidane-21st-century-portrait/review/",2006,9,"pos",0.91,0.08
"Hoodwinked!",2,81,"U","2006-09-29","2006-09-24 09:00:00","Olly Richards"," https://www.empireonline.com/movies/hoodwinked/review/",2006,9,"pos",0.5,0.5
"Rabbit Fever",2,82,"18","2006-09-22","2006-09-18 09:00:00","Ian Freer"," https://www.empireonline.com/movies/rabbit-fever/review/",2006,9,"neg",0.47,0.52
"Beavis And Butt-Head Do America",4,81,"12","1996-09-18","2006-09-18 09:00:00","Adam Smith"," https://www.empireonline.com/movies/beavis-butt-head-america/review/",1996,9,"pos",0.84,0.15
"Step Up",2,103,"PG","2006-10-27","2006-09-08 09:00:00","Anna Smith"," https://www.empireonline.com/movies/step/review/",2006,10,"pos",0.57,0.42
"BASEketball",4,95,"15","1998-09-08","2006-09-08 09:00:00","Ian Freer"," https://www.empireonline.com/movies/baseketball/review/",1998,9,"neg",0.37,0.62
"The Sentinel",2,108,"12A","2006-09-01","2006-09-01 00:00:00","Nick De Semlyen"," https://www.empireonline.com/movies/sentinel/review/",2006,9,"pos",0.5,0.49
"Talladega Nights: The Ballad Of Ricky Bobby",2,108,"12A","2006-09-15","2006-08-26 09:00:00","Dan Jolin"," https://www.empireonline.com/movies/talladega-nights-ballad-ricky-bobby/review/",2006,9,"pos",0.91,0.08
"Snowcake",4,112,"15","2006-09-08","2006-08-25 09:00:00","Anna Smith"," https://www.empireonline.com/movies/snowcake/review/",2006,9,"pos",0.5,0.5
"Shanghai Dreams",3,121,"15","2006-09-08","2006-08-25 09:00:00","David Parkinson"," https://www.empireonline.com/movies/shanghai-dreams/review/",2006,9,"pos",0.74,0.25
"Trust The Man",3,100,"15","2006-09-22","2006-08-25 09:00:00","Liz Beardsworth"," https://www.empireonline.com/movies/trust-man/review/",2006,9,"neg",0.46,0.53
"Adrift",3,95,"15","2006-09-01","2006-08-25 09:00:00","Kim Newman"," https://www.empireonline.com/movies/adrift/review/",2006,9,"pos",0.62,0.37
"Eros",2,106,"15","2006-09-22","2006-08-25 09:00:00","David Parkinson"," https://www.empireonline.com/movies/eros/review/",2006,9,"pos",0.5,0.5
"Crank",4,88,"18","2006-09-01","2006-08-25 09:00:00","Nick De Semlyen"," https://www.empireonline.com/movies/crank/review/",2006,9,"neg",0.24,0.75
"The Night Listener",4,81,"15","2006-09-15","2006-08-25 09:00:00","David Hughes"," https://www.empireonline.com/movies/night-listener/review/",2006,9,"pos",0.76,0.23
"Terkel In Trouble",2,80,"15","2006-09-01","2006-08-25 09:00:00","Sam Toy"," https://www.empireonline.com/movies/terkel-trouble/review/",2006,9,"neg",0.46,0.53
"Idlewild",3,121,"15","2006-10-13","2006-08-25 09:00:00","Olly Richards"," https://www.empireonline.com/movies/idlewild/review/",2006,10,"pos",0.5,0.5
"Johanna",3,86,"15","2006-09-29","2006-08-25 09:00:00","Patrick Peters"," https://www.empireonline.com/movies/johanna/review/",2006,9,"pos",0.5,0.5
"The Addiction",4,82,"18","1995-08-25","2006-08-25 09:00:00","Kim Newman"," https://www.empireonline.com/movies/addiction/review/",1995,8,"pos",0.65,0.34
"Unconscious (Inconscientes)",4,109,"15","2006-09-15","2006-08-25 09:00:00","Patrick Peters"," https://www.empireonline.com/movies/unconscious-inconscientes/review/",2006,9,"neg",0.38,0.61
"Click",3,107,"12A","2006-09-29","2006-08-25 09:00:00","Sam Toy"," https://www.empireonline.com/movies/click/review/",2006,9,"pos",0.62,0.37
"Alien Resurrection",3,109,"15","1997-08-25","2006-08-25 09:00:00","Ian Nathan"," https://www.empireonline.com/movies/alien-resurrection/review/",1997,8,"pos",0.62,0.37
"Right At Your Door",4,95,"15","2006-09-08","2006-08-25 09:00:00","Kim Newman"," https://www.empireonline.com/movies/right-door/review/",2006,9,"pos",0.52,0.47
"Little Miss Sunshine",4,102,"15","2006-09-08","2006-08-25 09:00:00","Angie Errigo"," https://www.empireonline.com/movies/little-miss-sunshine/review/",2006,9,"pos",0.66,0.33
"Life & Lyrics",3,99,"15","2006-09-29","2006-08-25 09:00:00","Helen O'hara"," https://www.empireonline.com/movies/life-lyrics/review/",2006,9,"pos",0.59,0.4
"Clerks 2",4,97,"18","2006-09-22","2006-08-25 09:00:00","Dorian Lynskey"," https://www.empireonline.com/movies/clerks-2/review/",2006,9,"pos",0.54,0.45
"Taxi 3",3,15,"84","2003-03-11","2006-08-11 09:00:00","Helen 'hara"," https://www.empireonline.com/movies/taxi-3-2/review/",2003,3,"pos",0.86,0.13
"The King",4,15,"105","2005-08-11","2006-08-11 09:00:00","Miles Fielder"," https://www.empireonline.com/movies/king-2/review/",2005,8,"pos",0.56,0.43
"Quantum of Solace",4,105,"12A","2008-10-31","2006-08-02 09:00:00","Kim Newman"," https://www.empireonline.com/movies/quantum-solace/review/",2008,10,"pos",0.62,0.37
"Red Road",4,114,"18","2006-10-27","2006-08-01 09:00:00","Anna Smith"," https://www.empireonline.com/movies/red-road/review/",2006,10,"neg",0.44,0.55
"The Dark Knight",5,152,"12A","2008-07-25","2006-08-01 09:00:00","Mark Dinning"," https://www.empireonline.com/movies/dark-knight/review/",2008,7,"pos",0.69,0.3
"The Postman",2,177,"15","1997-07-31","2006-07-31 09:00:00","Ian Nathan"," https://www.empireonline.com/movies/postman/review/",1997,7,"neg",0.35,0.64
"The Notorious Bettie Page",3,91,"18","2006-08-04","2006-07-30 09:00:00","William Thomas"," https://www.empireonline.com/movies/notorious-bettie-page/review/",2006,8,"neg",0.21,0.78
"Elvis: The Early Years",3,240,"12","2005-08-07","2006-07-28 09:00:00","Helen O'hara"," https://www.empireonline.com/movies/elvis-early-years/review/",2005,8,"neg",0.47,0.52
"Akeelah And The Bee",3,113,"12A","2006-08-18","2006-07-28 09:00:00","Anna Smith"," https://www.empireonline.com/movies/akeelah-bee/review/",2006,8,"pos",0.68,0.31
"Who Killed The Electric Car?",3,92,"U","2006-08-04","2006-07-28 09:00:00","Sam Toy"," https://www.empireonline.com/movies/killed-electric-car/review/",2006,8,"pos",0.51,0.48
"The Mighty Ducks",2,100,"PG","1992-07-28","2006-07-28 09:00:00","Ian Nathan"," https://www.empireonline.com/movies/mighty-ducks/review/",1992,7,"pos",0.7,0.29
"Monster House",4,91,"PG","2006-08-11","2006-07-28 09:00:00","Ian Freer"," https://www.empireonline.com/movies/monster-house/review/",2006,8,"neg",0.49,0.5
"Annapolis",1,108,"12","2006-01-29","2006-07-28 09:00:00","Als"," https://www.empireonline.com/movies/annapolis/review/",2006,1,"pos",0.5,0.5
"Severance",3,96,"15","2006-08-25","2006-07-28 09:00:00","Sam Toy"," https://www.empireonline.com/movies/severance/review/",2006,8,"neg",0.24,0.75
"Wilderness",3,94,"15","2006-08-11","2006-07-28 09:00:00","Anna Smith"," https://www.empireonline.com/movies/wilderness/review/",2006,8,"pos",0.64,0.35
"Angel-A",3,91,"15","2006-07-28","2006-07-28 09:00:00","David Parkinson"," https://www.empireonline.com/movies/angel-2/review/",2006,7,"pos",0.5,0.5
"Look Both Ways",3,101,"12A","2006-08-25","2006-07-28 09:00:00","Simon Crook"," https://www.empireonline.com/movies/look-ways/review/",2006,8,"pos",0.64,0.35
"Marathon Man",4,125,"18","2006-07-28","2006-07-28 09:00:00","Ian Nathan"," https://www.empireonline.com/movies/marathon-man/review/",2006,7,"neg",0.13,0.86
"The Nightmare Before Christmas",3,76,"PG","1993-07-28","2006-07-28 09:00:00","Ian Nathan"," https://www.empireonline.com/movies/nightmare-christmas/review/",1993,7,"pos",0.53,0.46
"Innocent Voices",3,111,"12A","2006-08-11","2006-07-28 09:00:00","Simon Crook"," https://www.empireonline.com/movies/innocent-voices/review/",2006,8,"pos",0.7,0.29
"CSA: The Confederate States of America",3,89,"12A","2006-08-04","2006-07-28 09:00:00","Helen O'hara"," https://www.empireonline.com/movies/csa-confederate-states-america/review/",2006,8,"neg",0.49,0.5
"Alpha Male",3,100,"15","2006-08-11","2006-07-28 09:00:00","Patrick Peters"," https://www.empireonline.com/movies/alpha-male/review/",2006,8,"neg",0.28,0.71
"Nacho Libre",3,92,"12A","2006-08-11","2006-07-28 09:00:00","Ian Nathan"," https://www.empireonline.com/movies/nacho-libre/review/",2006,8,"pos",0.75,0.24
"Volver",4,121,"15","2006-08-25","2006-07-28 09:00:00","Helen O'hara"," https://www.empireonline.com/movies/volver/review/",2006,8,"pos",0.5,0.5
"A Scanner Darkly",4,100,"15","2006-08-18","2006-07-28 00:00:00","Kim Newman"," https://www.empireonline.com/movies/scanner-darkly/review/",2006,8,"neg",0.47,0.52
"Disturbia",3,104,"15","2007-09-14","2006-07-27 09:00:00","William Thomas"," https://www.empireonline.com/movies/disturbia/review/",2007,9,"pos",0.5,0.5
"Renaissance",3,105,"15","2006-07-28","2006-07-26 09:00:00","William Thomas"," https://www.empireonline.com/movies/renaissance/review/",2006,7,"pos",0.56,0.43
"Teenage Mutant Ninja Turtles",2,87,"PG","2007-03-23","2006-07-21 09:00:00","Sam Toy"," https://www.empireonline.com/movies/teenage-mutant-ninja-turtles-2/review/",2007,3,"neg",0.45,0.54
"Paper Clips",3,87,"U","2006-08-04","2006-07-21 09:00:00","David Hughes"," https://www.empireonline.com/movies/paper-clips/review/",2006,8,"neg",0.36,0.63
"The Messengers",2,90,"15","2007-04-06","2006-07-20 09:00:00","Simon Crook"," https://www.empireonline.com/movies/messengers/review/",2007,4,"pos",0.75,0.24
"Popstar",1,98,"PG","2005-08-17","2006-07-17 09:00:00","Will Lawrence"," https://www.empireonline.com/movies/popstar/review/",2005,8,"pos",0.5,0.5
"Joes Apartment",1,80,"PG","1996-07-24","2006-07-17 09:00:00","Nick De Semlyen"," https://www.empireonline.com/movies/joes-apartment/review/",1996,7,"pos",0.59,0.4
"Superman Returns",5,150,"PG","2006-07-14","2006-07-10 00:00:00","Ian Nathan"," https://www.empireonline.com/movies/superman-returns/review/",2006,7,"neg",0.41,0.58
"Thor",4,114,"12A","2011-04-29","2006-07-05 09:00:00","Chris Hewitt"," https://www.empireonline.com/movies/thor/review/",2011,4,"neg",0.24,0.75
"A Trip To The Moon",5,14,"U","2011-07-03","2006-07-03 09:00:00","David Parkinson"," https://www.empireonline.com/movies/trip-moon/review/",2011,7,"pos",0.51,0.48
"Theorem",4,98,"15","2013-04-12","2006-07-03 09:00:00","David Parkinson"," https://www.empireonline.com/movies/theorem/review/",2013,4,"pos",0.5,0.5
"The Death Of Mr Lazarescu",4,153,"15","2006-07-14","2006-07-01 09:00:00","David Parkinson"," https://www.empireonline.com/movies/death-mr-lazarescu/review/",2006,7,"pos",0.55,0.44
"Les Amants Reguliers",3,184,"18","2006-07-21","2006-07-01 00:00:00","David Parkinson"," https://www.empireonline.com/movies/les-amants-reguliers/review/",2006,7,"pos",0.67,0.32
"Ellie Parker",3,95,"15","2006-07-14","2006-07-01 00:00:00","Patrick Peters"," https://www.empireonline.com/movies/ellie-parker/review/",2006,7,"pos",0.61,0.38
"Heading South",2,108,"15","2006-07-07","2006-07-01 00:00:00","Anna Smith"," https://www.empireonline.com/movies/heading-south/review/",2006,7,"pos",0.74,0.25
"Awesome! I Fuckin' Shot That!",4,90,"15","2006-07-07","2006-07-01 00:00:00","Helen O'hara"," https://www.empireonline.com/movies/awesome-fuckin-shot/review/",2006,7,"pos",0.89,0.1
"The Break-Up",3,105,"12A","2006-07-21","2006-07-01 00:00:00","Tony Horkins"," https://www.empireonline.com/movies/break/review/",2006,7,"pos",0.5,0.49
"District 13",3,85,"15","2006-07-07","2006-07-01 00:00:00","William Thomas"," https://www.empireonline.com/movies/district-13/review/",2006,7,"pos",0.75,0.25
"Cars",3,121,"PG","2006-07-28","2006-07-01 00:00:00","Olly Richards"," https://www.empireonline.com/movies/cars/review/",2006,7,"neg",0.44,0.55
"Kung Fu Panda",4,92,"PG","2008-07-04","2006-06-27 09:00:00","Chris Hewitt"," https://www.empireonline.com/movies/kung-fu-panda/review/",2008,7,"pos",0.51,0.48
"Just My Luck",2,103,"PG","2006-06-30","2006-06-26 00:00:00","Anna Smith"," https://www.empireonline.com/movies/just-luck/review/",2006,6,"neg",0.39,0.6
"Dave Chappelle's Block Party",4,103,"15","2006-06-30","2006-06-26 00:00:00","Helen O'hara"," https://www.empireonline.com/movies/dave-chappelle-block-party/review/",2006,6,"pos",0.5,0.49
"Over The Hedge",3,83,"U","2006-06-30","2006-06-26 00:00:00","Nick De Semlyen"," https://www.empireonline.com/movies/hedge/review/",2006,6,"pos",0.5,0.49
"Flight 93",2,90,"12","2005-06-19","2006-06-19 09:00:00","Steve O'hagan"," https://www.empireonline.com/movies/flight-93/review/",2005,6,"pos",0.65,0.34
"The Lake House",3,98,"PG","2006-06-23","2006-06-19 00:00:00","Ian Freer"," https://www.empireonline.com/movies/lake-house/review/",2006,6,"pos",0.66,0.33
"Le Quai Des Brumes",5,91,"PG","2012-05-04","2006-06-14 09:00:00","David Parkinson"," https://www.empireonline.com/movies/le-quai-des-brumes/review/",2012,5,"pos",0.75,0.24
"Teeth",3,93,"18","2008-06-20","2006-06-01 09:00:00","Mark Dinning"," https://www.empireonline.com/movies/teeth/review/",2008,6,"neg",0.44,0.55
"Pusher 3 AKA Im The Angel of Death",3,102,"18","2006-06-09","2006-05-26 09:00:00","Simon Crook"," https://www.empireonline.com/movies/pusher-3-aka-m-angel-death/review/",2006,6,"pos",0.53,0.46
"RV: Runaway Vacation",2,99,"PG","2006-06-09","2006-05-26 09:00:00","Angie Errigo"," https://www.empireonline.com/movies/rv-runaway-vacation/review/",2006,6,"neg",0.36,0.63
"Abhijan",3,150,"PG","2006-05-26","2006-05-26 09:00:00","Kim Newman"," https://www.empireonline.com/movies/abhijan/review/",2006,5,"pos",0.5,0.5
"Lobo",4,125,"15","2006-06-16","2006-05-26 09:00:00","David Hughes"," https://www.empireonline.com/movies/lobo/review/",2006,6,"pos",0.5,0.5
"The Passenger",4,119,"PG","2006-06-16","2006-05-26 09:00:00","David Parkinson"," https://www.empireonline.com/movies/passenger/review/",2006,6,"pos",0.52,0.47
"Hard Candy",4,104,"18","2006-06-16","2006-05-26 09:00:00","Caroline Westbrook"," https://www.empireonline.com/movies/hard-candy/review/",2006,6,"pos",0.56,0.43
"Thank You For Smoking",3,92,"15","2006-06-16","2006-05-26 09:00:00","Dan Jolin"," https://www.empireonline.com/movies/thank-smoking/review/",2006,6,"neg",0.45,0.54
"An Unfinished Life",3,108,"12A","2006-06-16","2006-05-26 09:00:00","Anna Smith"," https://www.empireonline.com/movies/unfinished-life/review/",2006,6,"pos",0.69,0.3
"Metropolitan",4,98,"15","1990-08-10","2006-05-26 09:00:00","Angie Errigo"," https://www.empireonline.com/movies/metropolitan/review/",1990,8,"pos",0.62,0.37
"United 93",5,111,"15","2006-06-02","2006-05-26 09:00:00","Dan Jolin"," https://www.empireonline.com/movies/united-93/review/",2006,6,"pos",0.65,0.35
"Wah-Wah",4,99,"15","2006-06-02","2006-05-26 00:00:00","David Hughes"," https://www.empireonline.com/movies/wah-wah/review/",2006,6,"pos",0.5,0.5
"Election",3,100,"18","2006-06-09","2006-05-26 00:00:00","Kim Newman"," https://www.empireonline.com/movies/election-2/review/",2006,6,"pos",0.6,0.39
"Aquamarine",3,104,"PG","2006-06-23","2006-05-26 00:00:00","Anna Smith"," https://www.empireonline.com/movies/aquamarine/review/",2006,6,"pos",0.75,0.24
"Poseidon",4,98,"12A","2006-06-01","2006-05-26 00:00:00","Simon Braund"," https://www.empireonline.com/movies/poseidon/review/",2006,6,"pos",0.58,0.41
"Immortal",2,102,"15","2004-12-31","2006-05-25 09:00:00","Kim Newman"," https://www.empireonline.com/movies/immortal/review/",2004,12,"pos",0.62,0.37
"Vacancy",3,85,"15","2007-06-15","2006-05-24 09:00:00","Nick De Semlyen"," https://www.empireonline.com/movies/vacancy/review/",2007,6,"pos",0.75,0.24
"Not Here To Be Loved",3,93,"15","2007-06-08","2006-05-24 09:00:00","Helen O'hara"," https://www.empireonline.com/movies/loved-2/review/",2007,6,"pos",0.62,0.37
"Angels And Demons",3,138,"12A","2009-05-14","2006-05-23 09:00:00","Kim Newman"," https://www.empireonline.com/movies/angels-demons/review/",2009,5,"pos",0.5,0.5
"Bill",3,94,"PG","2015-08-21","2006-05-11 09:00:00","Kim Newman"," https://www.empireonline.com/movies/bill/review/",2015,8,"pos",0.61,0.38
"Deck The Halls",1,93,"PG","2006-12-01","2006-05-09 09:00:00","Sam Toy"," https://www.empireonline.com/movies/deck-halls/review/",2006,12,"pos",0.66,0.33
"Death Sentence",2,106,"18","2007-08-31","2006-05-09 09:00:00","Kim Newman"," https://www.empireonline.com/movies/death-sentence/review/",2007,8,"pos",0.52,0.47
"Gumball 3000: Drivin' Me Crazy",2,71,"18","2006-05-08","2006-05-09 09:00:00","Kat Brown"," https://www.empireonline.com/movies/gumball-3000-drivin-crazy/review/",2006,5,"neg",0.02,0.97
